experience,education,skills
"General Accounting Ops senior Analyst, Senior Associate",B.com.  ( Commerce )  ,"Planning/Organizing, Teamwork, Interpersonal Abilities,
Oracle Applications, sap, Blackline, Hfm, Hyperion Essbase, Fixed Assets, General Ledger, Onestream
"
"Assistant Manager Finance & Accounting, Senior Executive Finance & Accounts","B.com.  ( Commerce )  , M.com.  ( Commerce ) 
                  	
	                  	
	                       		2001
	                    
                    	","Planning/Organizing, Management Proficiency, Training/Mentoring,
, Sap Accounting
"
Accounts Senior Analyst,B.com.  ( Commerce )  ,"Interpersonal Abilities, Planning/Organizing, Management Proficiency,
Hard working and hv good Accounting knowledge
"
"Accounts and Tax Manager, Accounts and Tax Consultant","B.com.  ( Commerce )  , CA  ( Chartered Accountant ) 
                  	
	                  	
	                       		2022
	                    
                    	","
microsoft office, auditing and tax, taxation, accounts, income-tax, sales tax, bank reconciliation, balance sheet, ascp, banking, tds, cash book, auditing, finance, accounting, accountant, cash, all accounting, costing, financial statements, reconciliation
"
General accounting Ops associate,B.com.  ( Commerce )  ,"
Sap Fico, MS Excel, Ms Word, Ms Powerpoint
"
Accounting associate,"M.com.  ( Commerce ) 
                  	
	                  	
	                       		2017
	                    
                    	","
General Accounting
"
MANAGER,"BA  ( Arts )  , ICWA
                  	
	                  	
	                       		2005
	                    
                    	","Planning/Organizing, Analytical Proficiency, Teamwork,
accounts payable, Capital Budgeting, general accounts, Fixed Assets, Management Information System, MIS, Sap, Bank Reconciliation, Accounting
"
Sr Associate-Financial Accounting at Tesco Bengaluru,"M.com.  ( Commerce ) 
                  	
	                  	
	                       		2016
	                    
                    	","Accomplishments, Interpersonal Abilities, Communication Proficiency,
accouting, balance sheet reconciliations, Reconciliation, intercomapny, R2r
"
"Accounting Clerk / MIS Executive, Assistant Sales Coordinator / Office Assistant",B.com.  ( Commerce )  ,"Planning/Organizing, Technical Proficiency, Management Proficiency,
Sales Coordinator, Accounting Clerk, Back Office, Back-office Operations, Data Collector, Data Management, Data Analysis, MIS Reports, Pivot Table, Pivot Chart, Excel Vlookup, Powerpoint Presentation
"
"Manager Accounts and Taxation, Manager Accounts and Taxation","B.com.  ( Commerce )  , CA  ( Chartered Accountant ) 
                  	
	                  	
	                       		2007
	                    
                    	","Management Proficiency, Interpersonal Abilities, Creative Proficiency,
accounting & taxation knowledge, Manager, Accounts & Finance, Direct Taxation, Indirect Taxation, TDS, Computer
"
"Project Accounting Senior Analyst, General and Operational Accounting Analyst","BBA /  BBM /  BBS , MBA /  PGDM
                  	
	                  	
	                       		2019
	                    
                    	","Management Proficiency, Planning/Organizing, Creative Proficiency,
sap, Netsuite, oracle, Salesforce, MS Excel, Ms Word, Ms Powerpoint
"
Sr. Specialist Payroll Accounting,B.com.  ( Commerce )  ,"
full & amp; final settlement and payroll accounting
"
"Senior Executive in GST Department , Accounting , Taxation",B.com.  ( Commerce )  ,"Technical Proficiency, Planning/Organizing, Accomplishments,
account Exec, Account Executive, Advance Tally, Annual Return, Basic Tally, GST, Gst return, Indirect Tax, Return gst, Tally Accountant, Tally Accounting, Tally Erp, Tax Returns, Account Executive, account Exec, Accounting, Microsoft Office, Microsoft Excel
"
"Accounting supervisor, Management trainee","B.com.  ( Commerce )  , MBA /  PGDM
                  	
	                  	
	                       		2008
	                    
                    	","Planning/Organizing, Management Proficiency, Interpersonal Abilities,
Bank reconciliation, General Accounting, Oracle 11i, Oracle R12, Payroll reconciliation, R2R
"
Accounts manager,"B.com.  ( Commerce )  , M.com.  ( Commerce ) 
                  	
	                  	
	                       		2021
	                    
                    	","
Accounting, Finance
"
"Assistant Manager, Audit Executive","B.com.  ( Commerce )  , M.com.  ( Commerce ) 
                  	
	                  	
	                       		2018
	                    
                    	","Technical Proficiency, Planning/Organizing, Communication Proficiency,
tally, accounting, reconciliation, bank reconciliation, accounts payable, account receivables, tds
"
"AUDIT / COSTING / ACCOUNTING, SR.ACCOUNTANT",B.com.  ( Commerce )  ,"
gernal accounting, Accounts Payable, Accounts Receivable, Credit Control, Branch Accounting, Bank Reconciliation, Account Reconciliation, Tally Erp, cash bank handling, Payments, Credit Collection, Tds Calculation, MIS Reports, Back-office Operations, audit, Costings
"
Accounting Specialist,B.com.  ( Commerce )  ,"
Accounting Analyst, General Accounting, Rtr, record to report, Accruals, Reconciliations, Intercompany, Intercompany Accounting, hotel accounting, journals, Bank Reconciliation, Account Reconciliation
"
"Accounting Assistant, Audit Semi Senior","M.com.  ( Commerce ) 
                  	
	                  	
                    	","Planning/Organizing, Accomplishments, Analytical Proficiency,
Accounts Payable, Bank Reconciliation, TDS, Gst, Internal Audit, Communication Skills, task prioritization, Time Management, MS Office
"
"Senior Accounting Technician , Process Developer","B.com.  ( Commerce )  , MBA /  PGDM
                  	
	                  	
	                       		2009
	                    
                    	","Planning/Organizing, Communication Proficiency, Management Proficiency,
Finacial advisor, Business Analyst
"
"Billings accounting department, Billings accounting","MBA /  PGDM
                  	
	                  	
	                       		2015
	                    
                    	","
MS Office, Accounting Assistant, Executive, Accountant and Back Office, Advanced Excel, Billings
"
"General Manager Accounts, Officer","B.com.  ( Commerce )  , MBA /  PGDM
                  	
	                  	
	                       		2004
	                    
                    	","Planning/Organizing, Interpersonal Abilities, Analytical Proficiency,
Accounting / Tax
"
Deputy Manager- Customer Acquisition,B.com.  ( Commerce )  ,"
Assistant Manager, Customer Acquisition, sales, Convincing Power, Keen Learner, Meeting Targets, delivering presentations, regular followups
"
Air Hostess,12th  &  Not Pursuing Graduation ,"
Travel / Ticket / Airline / Cabin Crew / Air Hostess / Floor Operation
"
Account,BA  ( Arts )  ,"
Willingess to learn Anything new & amp;update myself.
"
recepitionist,Diploma-Other Diploma ,"
English, Hindi, Punjabi, Team Leader
"
Air hostess,BBA /  BBM /  BBS ,"
English Fluency
"
"HR executive , Hr executive",BA  ( Arts )  ,"
Accounts and Administration, Accounts Executive, Accounts Management, Advertising Art Direction, Air Hostess, Air Ticketing, Airline Flight Attendant, Airline Ticketing, Art Director, Aviation, Bpm, Bpo Executive, Branded Content, Business Content, Business Development, Cabin Crew, Content Analysis, Content Creator, Content Development, Data Collector, Data Entry, Data Entry Operator, Director, Domestic Bpo, Domestic Ticketing, Ground Staff, Hr Assistance, Hr Assistant, HR Consultant, HR Executive, Medical Transcription, Recruitment / hr / human Resourcs, Ticket Booking, Transcription, Transcriptionist, Hr Recruiter, Executive Recruiter, Technical Recruiter
"
Executive trainee,BHM  ( Hotel Management )  ,"
Airline Management, Cabin Crew, Air Hostess
"
"Visa Verification Officer, Sr.Customer Service Executive",12th  &  Not Pursuing Graduation ,"Planning/Organizing, Teamwork, Interpersonal Abilities,
Travel / Ticket / Airlines / Cabin Crew / Air Hostess / Floor Operations
"
SENIOR HOSTESS,"Other Post Graduation
                  	
	                  	
                    	","Interpersonal Abilities, Research Proficiency, Communication Proficiency,
Air Hostess
"
Teaching,BA  ( Arts )  ,"
Active Learning, Active Listening, Good Attendance, Good Communication, Good Understanding, Hospitality, Air Hostess, As I am a fresher, in this field but I am pretty sure that I will put all my knowledge and skills directly into your organisation which will help to grow my experience in this field and I can be the best and an important asset for your organisation and I will build my career within it.
"
"Public Relations Executive, Guest Relations Executive",BA  ( Arts )  ,"Research Proficiency, Analytical Proficiency, Interpersonal Abilities,
Air Hostess, Guest Service, Hospitality, Influencer marketing, Microsoft Excel, Orm, PowerPoint, Pr, Public relations, Public Relations and Executive, Sales, Customer service, Customer Relations, Guest Relations
"
Pilot Licenses,,"
Air Hostess, Airlines, Hospitality
"
"Area Sales Manager, Sales Manager","MBA /  PGDM
                  	
	                  	
	                       		2004
	                    
                    	","Management Proficiency, Interpersonal Abilities, Communication Proficiency,
|Qualification |University ||M.B.A. ( Mkt. ) |Sardar Vallabh Bhai Patel University ||Diploma in Aviation and Hospitality |Frankfinn Institute of Air Hostess Training ||Management | |
"
cashier,BA  ( Arts )  ,"Interpersonal Abilities, Communication Proficiency, Management Proficiency,
Complete Diploma from Frankfinn Institute of Air Hostess training in Avaition, Hospitality, Travel & Tourism.Result of Key Area:PunctualHonestHard Work, corporate communication
"
"Processor , pressing",B.Sc.  ( Science )  ,"Interpersonal Abilities, Communication Proficiency, Training/Mentoring,
Air Hostess
"
Executive,BA  ( Arts )  ,"
Air Hostess, Ground Staff, Receptionist
"
Passenger Service ( ground Staff ),B.com.  ( Commerce )  ,"Accomplishments, Communication Proficiency, Planning/Organizing,
AUTOCAD, AVIATION FROGraduate, worked at Mumbai International Airport as Passenger Service with Srilankan AirlinesM FRANKFINN INSTITUTE OF AIR HOSTESS TRAINING, BTEC & #40;HNC & #41;, Customer Care Representative, Customer Care
"
"Team Coordinator, Sales Executive",BA  ( Arts )  ,"Interpersonal Abilities, Communication Proficiency, Management Proficiency,
SALES, Social Worker, Air Hostess
"
Assistant manager,BE /  B.Tech  ( Engineering )  ,"
Air Hostess, Hotel Management, Hotel Receptionist, Assistant manager, Operations, Back-office Operations, Value bankar
"
"Sr Researcher, RESEARCHER",12th  &  Not Pursuing Graduation ,"Management Proficiency, Leadership Proficiency, Teamwork,
Higher Secondary School Certificate Examination, Mumbai, India Air-hostess flight Attendant & Ground course in Mumbai, India Diploma in tally 8.1. In Mumbai, India.
"
"Assistant Manager-HR, Back Office Executive",BA  ( Arts )  ,"Management Proficiency, Training/Mentoring, Leadership Proficiency,
As I have completed my vocational course in Aviation, Hospitality and Travel & Tourism from Frankfinn Institute of Air hostess Training. So, I want to start my career with Service Industry.
"
customer relation executive,"M.com.  ( Commerce ) 
                  	
	                  	
                    	","Interpersonal Abilities, Management Proficiency, Communication Proficiency,
Internet, Banking, Front Desk Executive, front office executive, calling, office operations, Backend, Back Office, computer operator, Customer Relationship Executive, Account Executive, Counselor, guidance counselor, academic coordinator, Recruiter, IT recruiter, office assistant, back office assistant, Billing, Domestic Bpo, Executive, Travel Consultant, Cashier, Admin and HR, Human Resourcs, Recruitment, hr executive, back office executive, automobile, Production, manager, Account Assistant, accountant, assistant accountant, Data Entry Operator, operator, Crm, Air Hostess, cabin crew, Fashion Designer, acco, Assistant Teacher, codinator, Coordinator, office, Content Writer, Automobile Industry, offce, Accountant and Back Office, Commerce
"
Admin Executive,B.Sc.  ( Science )  ,"Interpersonal Abilities, Creative Proficiency, Technical Proficiency,
Hr Administrator, Facilities Management, Facility Manager, Hr Recruitment, Administration Officer, Manager, Export-import Documentation, Supply Chain Management, Supply Chain, Hr Coordinator, Air Hostess, Admin and HR, Logistics, Administrative Support, Contracts, Customer Support, Vendor Management, Inventory, Supply, Clients
"
"Travel Specialist, Customer Service Executive - Ramp",BA  ( Arts )  ,"Management Proficiency, Interpersonal Abilities, Research Proficiency,
Travel / Ticket / Airlines / Cabin Crew / Air Hostess / Floor Operations, Ticketing, Reservations, Airline Reservations, Travel Agent, Travel Consultant, Business Travel Consultant, Travel, Corporate Travel, Adventure Travel
"
"Supervisor, supervisor",BA  ( Arts )  ,"Teamwork, Interpersonal Abilities, Management Proficiency,
2008: Done Diploma in Aviation and hospitality Management, from Air Hostess Academy - New Delhi. M.S. Office and good knowledge of internet.
"
Guest service executive,BA  ( Arts )  ,"Interpersonal Abilities, Management Proficiency, Accomplishments,
Air Hostess, retails
"
"Duty Manager, Customer Service Representative",BHM  ( Hotel Management )  ,"Management Proficiency, Interpersonal Abilities, Training/Mentoring,
AVIATION AND TRAVEL AND TOURISM FROM FRANKFINN INSTITUE OF AIR HOSTESS TRAINING
"
"Waiter / Waitresses / Steward, Waiter / Waitresses / Steward",12th  &  Not Pursuing Graduation ,"Accomplishments, Planning/Organizing, Interpersonal Abilities,
Diploma in aviation and hospitality management from air hostess academy.Done a certified computer course from M.b.p.t .
"
manager,"MBA /  PGDM
                  	
	                  	
                    	","
Ground Staff, Air Hostess, Cabin Crew, ticketing agent, Telecaller, Data Entry, Back Office, back office executive
"
"Sr Associate, Sr Associate",B.com.  ( Commerce )  ,"
Travel / Ticket / Airlines / Cabin Crew / Air Hostess / Floor Operations
"
Guest relation executive,Other School /  Graduation ,"Communication Proficiency, Research Proficiency, Planning/Organizing,
Customer Care, Hospitality, Cabin Crew, Front Desk and Executive, Air Hostess, ground staff
"
"Manager Internet Marketing, Deputy Manager Strategic Alliance","B.Sc.  ( Science )  , MBA /  PGDM
                  	
	                  	
	                       		2003
	                    
                    	","Management Proficiency, Training/Mentoring, Creative Proficiency,
Marketing, Business Process Reengineering, Hostess, Air Hostess, Strategic Alliances, Hospitality, Market Potential, Channel Management, Pilot, Profe
"
"Front Office Executive, Front Office Supervisor",BA  ( Arts )  ,"Interpersonal Abilities, Management Proficiency, Accomplishments,
One year diploma in Aviation & Hospitality from a leading institute at national level - Air Hostess Academy, Delhi. Leadership skills, Hard working, Calm and cool personality, Patience and flexibility.
"
12th & Not Pursuing Graduation,,"
Cabin Crew, Air Hostess, Travel & Tourism
"
BA ( Arts ),,"
Cabin Crew, Air Hostess, ground staff
"
Receptionist,12th  &  Not Pursuing Graduation ,"Planning/Organizing, Management Proficiency, Communication Proficiency,
Receptionist
"
"Receptionist, receptionist & patient coordinator",BPT  ( Physiotherapy )  ,"Teamwork,
Medical Receptionist, Front Desk and Executive, Customer Care Representative
"
"RECEPTIONISTS, Receptionist cum admin work","MA  ( Arts ) 
                  	
	                  	
	                       		2001
	                    
                    	","Planning/Organizing, Technical Proficiency, Interpersonal Abilities,
Receptionist cum office work, courier, fax. Receive the phone calls, mails, banking work, etc........office work
"
"Receptionist, Front Desk executive",BA  ( Arts )  ,"Communication Proficiency, Management Proficiency, Accomplishments,
good comunication
"
Office assistant cum Receptionist,B.com.  ( Commerce )  ,"
Receptionist, Computer Operator, office assistant, back office assistant, administration, system admin
"
"Receptionist and sales In charge in Hotel , Receptionist",12th  &  Not Pursuing Graduation ,"Interpersonal Abilities, Teamwork, Communication Proficiency,
Receptionist
"
Receptionist and administration,12th  &  Not Pursuing Graduation ,"
Receptionist, Fresher
"
receptionist in hospital for one year,"M.Sc.  ( Science ) 
                  	
	                  	
                    	","Communication Proficiency, Research Proficiency, Accomplishments,
RECEPTIONIST, ADT, Lab Technician
"
Receptionist cum secretary,12th  &  Not Pursuing Graduation ,"Interpersonal Abilities, Planning/Organizing, Management Proficiency,
Receptionist Administrative Assistant
"
"Receptionist Cum Admin Executive, RECEPTIONIST , ADMIN CUM BACK OFFICE EXECUTIVE",B.com.  ( Commerce )  ,"
Adobe Photoshop, Computer Operator, Data Entry / computer Operator, Back Office, Admin, admin executive, Administration Executive, Travel Desk, Front Desk and Executive, Receptionist, Corporate Travel
"
"Receptionist , Sr branch executive",B.com.  ( Commerce )  ,"
Receptionist, Cash Flow and Management, Branch Customer Service Representative
"
"Secretary and Receptionist , Front Office Executive Admin",BA  ( Arts )  ,"Planning/Organizing, Management Proficiency, Leadership Proficiency,
Microsoft Excel, Microsoft Office, Microsoft Word, Ms Office, Word, English Fluency, Courier Management, Team Worker, Self Confidence, Fast Learner, Digital marketing, Preparing Vouchers
"
Receptionist,12th  &  Not Pursuing Graduation ,"
Receptionist, personal assistant
"
"Receptionist, Receptionist",BA  ( Arts )  ,"Planning/Organizing, Technical Proficiency, Management Proficiency,
Automotive Sales
"
Telephone Operator ( EPABX ) Receptionist,BA  ( Arts )  ,"Analytical Proficiency, Planning/Organizing, Interpersonal Abilities,
IDEAS, MS OFFICE, RECEPTIONIST, TELEPHONE, Office Administration
"
"receptionist cum back office assistant, Work controller",BA  ( Arts )  ,"Technical Proficiency, Accomplishments, Research Proficiency,
EXCELLENT MULTITASKER, PROACTIVE, PROBLEM SOLVING, SELF MOTIVATED, SIMULTANEOUSLY, TIME MANAGEMENT
"
"Receptionist cum Office Assistant, Receptionist",Diploma-Engineering ,"
basic computer operating of ms-word, excel and powerpoint, Advanced Excel, Typing
"
"Receptionist, Front office executive",BCA  ( Computer Application )  ,"Planning/Organizing, Technical Proficiency, Teamwork,
handling telephone calls, mainting fils for data card, telephone and speed post bills, mainting day to day outgoing calls record
"
Receptionist-cum-Secretary to M D,12th  &  Not Pursuing Graduation ,"Interpersonal Abilities, Teamwork,
back office executive, Front Desk and Executive, office management & coordination, office services, office assistant, reception
"
"Admin Executive , Hr Coordinator , Hr Executive , Receptionist",12th  &  Not Pursuing Graduation ,"
, Admin executive, Hr Executive, Receptionist, Hr Assistant, Hr Coordinator, Tele calling
"
"Front Desk and Receptionists, Receptionist",12th  &  Not Pursuing Graduation ,"Planning/Organizing, Technical Proficiency, Management Proficiency,
Front Desk
"
Receptionist cum Admin,BA  ( Arts )  ,"Communication Proficiency,
computer operator, office assistant, front office executive, Billing Specialist, Taking appointments, Problem Solver, Convencing, Call and Coordinator, Staffing Manager, Vendor Relationship, Order Management, Operations Handling, Account Handling
"
Receptionist and Co-ordinator,B.com.  ( Commerce )  ,"
Quick learner, Work and time management skill, Good Communication
"
"Front office receptionist and VP Marketing Assistant, Front office receptionist",BA  ( Arts )  ,"
communication skill, Front Office, Office Management, team work skill, Front Desk and Executive, Front Desk, Vp marketing assistant
"
Receptionist cum admin executive,B.com.  ( Commerce )  ,"Planning/Organizing, Technical Proficiency, Communication Proficiency,
Able to handle the inbound & outbound calls Attending the walking client, visitors, patients Give the information about the orga
"
"Front Office cum Receptionist , Receptionist",BA  ( Arts )  ,"
Attentive, Active Listener, Punctuality, Patience, smiling nature
"
"Receptionist, Customer care Executive",12th  &  Not Pursuing Graduation ,"Planning/Organizing, Interpersonal Abilities, Communication Proficiency,
BILLING, CASH, EXCEL, FAST LEARNER, FILING, RECEPTIONIST, VOUCHERS
"
Receptionist cum administration,B.com.  ( Commerce )  ,"
Computer
"
Receptionist cum Admin Executive,12th  &  Not Pursuing Graduation ,"Management Proficiency, Teamwork, Communication Proficiency,
Communicating with Directors, collaborating with Branches & Marketing / Sales Dept., Handling incoming / outgoing calls & all administrative work
"
Front Desk Receptionist,Diploma-Other Diploma ,"
Computer Typing, Entry Operator, data entry, Email, Excel, Word
"
Front office executive cum receptionist,B.com.  ( Commerce )  ,"
Back Office
"
Receptionist Cum Admin Executive,BA  ( Arts )  ,"Planning/Organizing, Management Proficiency, Teamwork,
handling the walk in clients
"
"Admin Executive cum Receptionist, Patient Care Executive",B.Sc.  ( Science )  ,"
Receptionist Administrative Assistant, Front Desk, Facilities Management, Receptionist Activities, Receptionist, Vendor Management, Stationery, fixing appointments, generating reports, Courier Management, Travel Booking, telephone operating
"
"Support & Receptionist, Sales coordinator in used commercial vehicles",BA  ( Arts )  ,"Planning/Organizing, Management Proficiency, Training/Mentoring,
Handling Walking NOC customers for car loan ( citi bank ) Working in software Sage ( Ver 4.5 ), , Administration Executive, Billing
"
Computer operator cum Assistant cum receptionist,"Management Proficiency, Technical Proficiency, Planning/Organizing,","
near by location
"
Admin cum Receptionist,B.com.  ( Commerce )  ,"
Basic Excel, Ms Word, Basic Tally, Data Entry
"
"Counsellor , receptionist",12th  &  Not Pursuing Graduation ,"
Data Entry, Office Management
"
Receptionist cum front desk,BA  ( Arts )  ,"
communication, Leadership, Team Work, Hard Work, Patience, Punctual, Confident, Energetic, Problem Solving
"
"Receptionist cum Hr , customer services ( BPO )",B.com.  ( Commerce )  ,"Communication Proficiency, Accomplishments,
, Microsoft Office
"
Receptionist and in charge,B.Sc.  ( Science )  ,"Interpersonal Abilities, Analytical Proficiency,
RECEPTIONIST, SATISFACTION
"
"Receptionist cum Admin, Receptionist",BA  ( Arts )  ,"Planning/Organizing, Management Proficiency, Teamwork,
Front Office, Reception, Career Counseling, .Administrator
"
Receptionist and store manager,12th  &  Not Pursuing Graduation ,"
Requirements
"
PA to Group Director & Receptionist,Diploma-Other Diploma ,"
Planning and Organising, Administration Incharge, Management
"
"Receptionist Cum Admin, Receptionist cum admin",B.com.  ( Commerce )  ,"Planning/Organizing, Teamwork, Communication Proficiency,
back office executive, office assistance, office administration, office coordination, back office operations, backend, , Ms-office
"
"RECEPTIONIST, RECEPTIONIST",12th  &  Not Pursuing Graduation ,"Accomplishments, Planning/Organizing, Teamwork,
Medical Receptionist, Computer Operator, FRONT DESK, CASH HANDLING, RECEPTIONIST, TYPING
"
"Receptionist / Cashier, Hygiene and Beauty Products Sales Assistant",BHM  ( Hotel Management )  ,"Teamwork, Interpersonal Abilities, Research Proficiency,
MS WORD, MS POWERPOINT, MICROSOFT OFFICE, MS EXCEL, PRINTING, PRICING, POWERPOINT, CASHIER, ENCODING, EXCEL, OPERATIONS, RECEPTIONIST, SALES, SALES ASSISTANT, TELEPHONE, WORD
"
Data Entry Receptionist,12th  &  Not Pursuing Graduation ,"Planning/Organizing, Interpersonal Abilities, Creative Proficiency,
data entry receptionist event management
"
Receptionist Admin,BA  ( Arts )  ,"
Receptionist Admin
"
receptionist,Diploma-Engineering ,"
Computer Operator
"
Front office receptionist in bollywood sea queen beach resort,BA  ( Arts )  ,"Technical Proficiency, Research Proficiency, Interpersonal Abilities,
RECEPTIONIST
"
receptionist and manager,B.com.  ( Commerce )  ,"
Computer Operator
"
"Receptionist Cum Telephone Operator, Telephone Operator",B.com.  ( Commerce )  ,"Management Proficiency, Communication Proficiency, Technical Proficiency,
HOUSEKEEPING, RECEPTIONIST, TELEPHONE
"
"Front Desk & Admission Receptionist, Receptionist",12th  &  Not Pursuing Graduation ,"Management Proficiency, Training/Mentoring, Interpersonal Abilities,
Receptionist
"
"Receptionist, Teleceller",12th  &  Not Pursuing Graduation ,"Teamwork, Interpersonal Abilities, Management Proficiency,
Receptionist & Telecalling
"
"Receptionist, Staff ( Teaching )",BBA /  BBM /  BBS ,"Accomplishments, Interpersonal Abilities, Management Proficiency,
Handling reception
"
"Receptionist Cum Office Boy , Accounts Assistant",B.com.  ( Commerce )  ,"Planning/Organizing, Teamwork, Interpersonal Abilities,
Payment, Tally, accounting, Purchase Accounting, sale, Accounts Receivable, contara, tally erp9, ms.office, basic knowledge of computer, working knowledge of windows, ms office, internet & tally-. erp9. & tally 9.0, comfortable in accounting software
"
receptionist / telephone operator,,"
telephone board operator
"
"RECEPTIONIST CUM COMPUTER OPERATOR, RECEPTIONIST CUM COMPUTER OPERATOR",12th  &  Not Pursuing Graduation ,"Planning/Organizing, Communication Proficiency, Management Proficiency,
other
"
"front desk receptionist, CLINIC COORDINATOR","Technical Proficiency, Planning/Organizing, Teamwork,","
Good Communication, Hard Working, Positive Attitude, Punctuality, Honesty
"
"Receptionist , / Data Entry","B.Sc.  ( Science )  , M.Sc.  ( Science ) 
                  	
	                  	
	                       		2021
	                    
                    	","
typing, MS Word, MS Excel, Tally Erp, Excel, Banking
"
Receptionist / Front Office,Diploma-Engineering ,"Management Proficiency, Interpersonal Abilities, Teamwork,
Executive, MS Office and Tools, MS Excel, Front Office, Technical Support Voice, Technical Support Engineer
"
"receptionist, Senior representative","MA  ( Arts ) 
                  	
	                  	
                    	","Communication Proficiency, Interpersonal Abilities,
Data Entry Operator
"
"Admin Clerk / Receptionist, Facilitator In Abet",Diploma-Other Diploma ,"Teamwork, Planning/Organizing, Creative Proficiency,
switchboard, data capturing, filing, emailing
"
Receptionist cum Admi,B.Ed.  ( Education )  ,"Training/Mentoring,
creative, interactive
"
Front office receptionist,BA  ( Arts )  ,"
Customer Care, customer care executive, Front Desk and Executive
"
"Receptionist & Administration in-charge, Teacher",BA  ( Arts )  ,"Management Proficiency, Leadership Proficiency, Training/Mentoring,
Administration Incharge
"
Currently working as a Receptionist,B.com.  ( Commerce )  ,"Technical Proficiency, Interpersonal Abilities, Communication Proficiency,
Attending Inconing and Outgoing Calls under EPBAX. Attending Parents.
"
RECEPTIONIST,B.com.  ( Commerce )  ,"Teamwork, Research Proficiency, Creative Proficiency,
EXCEL, SQL, Tally, WORD, PROBLEM SOLVING, MS WORD, POWERPOINT, LINGUISTICS, FINANCE, COOKING, CONFIDENT, c#, C, c++, DRAWING
"
"IT Assistance, IT Support Executive",BA  ( Arts )  ,"
Hardware network king software, electronics maintainer, Microprocessors, Computer Electronics, Electronics, Telecommunications, Electronics Technician
"
"Senior Technical Support Engineer, Engineer-Services",BE /  B.Tech  ( Engineering )  ,"Research Proficiency, Management Proficiency, Communication Proficiency,
Analog & Digital Electronics, Electronics, Engineer, Telecommunications, Electronics Engineer, Electronics, Telecommunications
"
"Project Head, Transmission Planning Lead",BE /  B.Tech  ( Engineering )  ,"Management Proficiency, Planning/Organizing, Training/Mentoring,
project rollout & operation, Microwave
"
Maintenance Engineer,Diploma-Engineering ,"Technical Proficiency, Analytical Proficiency, Teamwork,
BE in electronics and telecommunications, Diploma in electronics and telecommunications
"
Telecommunications engineer ( site implementation ),BE /  B.Tech  ( Engineering )  ,"Training/Mentoring, Technical Proficiency, Planning/Organizing,
, Electronics, Telecommunications
"
Support network engineer,B.com.  ( Commerce )  ,"
Telecommunications network engineer, Network Engineer
"
"Programme Manager , Project Engineer","BE /  B.Tech  ( Engineering )  , MBA /  PGDM
                  	
	                  	
	                       		2018
	                    
                    	","Planning/Organizing,
R.F. Enginner / Project Engineer, Telecommunications, Telecoms Engineer, Project Manager
"
sr telecom supervisor,Diploma-Other Diploma ,"Management Proficiency, Planning/Organizing, Research Proficiency,
Telecommunications Specialist, Telecom, Network, Cctv Camera, Access Control System, Paga, Fiber Optics, Radios, Navigation, Ip Telephony, Cables, Oil and gas, Offshore
"
Telecommunications,12th  &  Not Pursuing Graduation ,"
Fiber Splicing
"
"Team Lead , Sr. Executive-Training Operation","BE /  B.Tech  ( Engineering )  , MBA /  PGDM
                  	
	                  	
	                       		2010
	                    
                    	","Management Proficiency, Planning/Organizing, Training/Mentoring,
telecommunication, gsm, Networking, Brand Marketing, Back-office Operations, training operations, ccna
"
Network Planner and Designer,BE /  B.Tech  ( Engineering )  ,"Planning/Organizing, Management Proficiency, Research Proficiency,
, Telecom Oss, Telecom Oss / bss, Telecommunications Specialist, Solution design, RedHat / Linux
"
Sr.project engineer,"12th  &  Not Pursuing Graduation , M.Sc.  ( Science ) 
                  	
	                  	
	                       		2011
	                    
                    	","Technical Proficiency, Research Proficiency, Training/Mentoring,
CCNA, Telecommunications Specialist, Telecommunications / IT netw
"
"Site engineer , Team Manager",BE /  B.Tech  ( Engineering )  ,"Interpersonal Abilities, Management Proficiency, Communication Proficiency,
, Railway Signalling
"
"IT ANALYST, Senior Engineer",BE /  B.Tech  ( Engineering )  ,"Communication Proficiency, Training/Mentoring, Planning/Organizing,
Excel, Ms office, MS Outlook, MS Word, Outlook, Thunderbird
"
"Service In-Charge, Sr. Technical Support & Service Engineer",BE /  B.Tech  ( Engineering )  ,"Management Proficiency, Technical Proficiency, Communication Proficiency,
Communication, PCB Testing, Fault Finding, Reworking of PCB
"
"Sales Manager, International Sales Manger",BE /  B.Tech  ( Engineering )  ,"Management Proficiency, Planning/Organizing, Technical Proficiency,
international marketing, business development, Export Import, B2B and Sales, International Sales, Brand Marketing, Merchandising, e-marketing, Online Marketing, onlnie sales, Telemarketing
"
"Solution Specialist, Manager",BE /  B.Tech  ( Engineering )  ,"Planning/Organizing, Management Proficiency, Technical Proficiency,
ss7, voip, gprs, gsm, SIP, MGW, SBC, MSOFTX, M2000, INAP, MAP, IMS, LTE, VoLTE, Umts
"
"Deputy Manager , Fraud Analyst",BE /  B.Tech  ( Engineering )  ,"Planning/Organizing, Management Proficiency, Research Proficiency,
telecom fraud, Revenue Assurance, sql, Unix, Telecoms Consultant, Telecommunications Specialist, 2g, 3g, 4g, Lte, Umts, Gsm, Telecom, Network, Reconciliations, Telecom Mediation, Linux, Amdocs Billing, Bss, Telecom Billing, Risk Management, singleview, telecom dispute, billing & settlement, Invoice, Reconciliation, Payments, Hlr, Msc, Gmsc, Mss
"
