experience,education,skills
Sr. Software Engineer,BE /  B.Tech  ( Engineering )  ,"Management Proficiency, Communication Proficiency, Technical Proficiency,
c++, C / c++
"
"Principal Software Engineer, Business Process Lead",BE /  B.Tech  ( Engineering )  ,"Planning/Organizing, Creative Proficiency, Technical Proficiency,
Qt, oracle, MS SQL Server, Sqlite, Mysql, C Programming, Shell Scripting, Python Scripting, c++, Dbx
"
"Technical Architect, Developer",BE /  B.Tech  ( Engineering )  ,"Planning/Organizing, Management Proficiency, Communication Proficiency,
c++, Linux, Python
"
Vice President,"BE /  B.Tech  ( Engineering )  , MBA /  PGDM
                  	
	                  	
	                       		2011
	                    
                    	","Planning/Organizing, Training/Mentoring, Management Proficiency,
.net, agile methodology, AJAX, Framework, Istqb Certified Tester, Java Script, multithreading ), MVC, Project Management, Rpa, Scrum, Software development ( ASP.net, Sql, SQL Server database, UFT / QTP Automation and Team management. Good exposure of client facing and leading / managing teams. Notice period: 1 month Regards Mandakini K 9769904774, Visual Studio 2010, WCF, Istqb advanced Test Manager
"
"Software Engineer, Associate consultant",BE /  B.Tech  ( Engineering )  ,"Planning/Organizing, Technical Proficiency, Creative Proficiency,
c++, qt, linux, windows, COM / COM+ / DCOM
"
"Currently Unemployed, jr.Software engineer","BE /  B.Tech  ( Engineering )  , MBA /  PGDM
                  	
	                  	
	                       		2010
	                    
                    	","Interpersonal Abilities, Communication Proficiency, Analytical Proficiency,
C, c++, STL, Objective C, Cocoa, Ios
"
"Tech Lead , Team Lead",BE /  B.Tech  ( Engineering )  ,"Management Proficiency, Creative Proficiency, Technical Proficiency,
c, Shell Scripting, Socket Programming, c++
"
Currently Unemployed,"MCA /  PGDCA
                  	
	                  	
	                       		2021
	                    
                    	","
excellent communication skills, Creative Thinking, Self Motivated, planning and organizing, Team Player, c#, c++, .net 4.8, Data Structures, html & javascript, Sqlite
"
"software development engineer, senior software engineer",BE /  B.Tech  ( Engineering )  ,"Management Proficiency, Analytical Proficiency, Planning/Organizing,
c++, Data Structures, Manual Testing, Jenkins, c, jira, OOPS, Stl, Multithreading, all type of pointers, Exception Handling, Git
"
"Tech Lead, Senior Consultant","B.Sc.  ( Science )  , MCA /  PGDCA
                  	
	                  	
	                       		2009
	                    
                    	","Planning/Organizing, Training/Mentoring, Communication Proficiency,
APPLICATION DEVELOPMENT, C, c++, DATABASE, FRAMEWORKS, GUI, IP, IPC, LINUX, LYNX, MFC, OBJECT ORIENTED PROGRAMMING, ODBC, ORACLE, PL / SQL, SDI, SOCKETS, SOFTWARE ENGINEER, SOFTWARE INTEGRATION, SQL, VISUAL STUDIO, WINDOWS XP, c#.net, Vb.net, VC++, .net, VC++, VC++, c++
"
"Tech Lead, SENIOR SOFTWARE ENGINEER","BE /  B.Tech  ( Engineering )  , PG Diploma
                  	
	                  	
	                       		2007
	                    
                    	","Technical Proficiency, Management Proficiency, Training/Mentoring,
c++, DS, Oracle, Linux, Unix
"
"Tech Lead, Tech Lead",BE /  B.Tech  ( Engineering )  ,"Management Proficiency, Creative Proficiency, Technical Proficiency,
c++, Socket Programming, Shell Scripting, Multithreading, Linux, sql, gui development using qt
"
"Senior Staff Engineer, Member of Technical Staff-III","BE /  B.Tech  ( Engineering )  , Integrated PG Course
                  	
	                  	
	                       		2015
	                    
                    	","Technical Proficiency, Interpersonal Abilities, Training/Mentoring,
c / c++, OOPS, Stl, Data Structures, Algorithms, Linux, Multithreading, Socket Programming, Inter Process Communication, san / nas, Python, kubernetes, l2 networking
"
"c++ Developer, software developer","BCA  ( Computer Application )  , MCA /  PGDCA
                  	
	                  	
	                       		2013
	                    
                    	","
SQL, c++
"
QA Developer 2,BE /  B.Tech  ( Engineering )  ,"Interpersonal Abilities, Communication Proficiency, Training/Mentoring,
c, c++, Java, J2ee, HTML, Css, PHP and Developer, Mysql, Php
"
"Engineering consultant, Engineering Lead","B.Sc.  ( Science )  , M.Sc.  ( Science ) 
                  	
	                  	
	                       		2001
	                    
                    	","Planning/Organizing, Technical Proficiency, Interpersonal Abilities,
c / c++, .net, c#, c++, Sql Server, Visual Studio, Visual Studio, Sql, Ms Sql Server
"
Consultant,BE /  B.Tech  ( Engineering )  ,"Creative Proficiency, Management Proficiency, Technical Proficiency,
.net, Winforms, WCF, WPF, MEF, c#, c++, CLEAR CASE, DATA MODEL, DESIGN PATTERNS, DICOM, ENTERPRISE ARCHitectLead, Scrum master, designer, Software Developer
"
"System admin, Mathematics teacher","B.Sc.  ( Science )  , MCA /  PGDCA
                  	
	                  	
	                       		2000
	                    
                    	","Interpersonal Abilities,
c, c++, Java etc
"
Senior Technical Lead,BE /  B.Tech  ( Engineering )  ,"Management Proficiency, Analytical Proficiency, Planning/Organizing,
VC++, C, c++, Linux, Python, Database, Redis, cmake, Kafka, Microsoft Windows, Machine Learning
"
"Business, Project Manager and On Job Training Co-ordinator",BE /  B.Tech  ( Engineering )  ,"Management Proficiency, Technical Proficiency, Training/Mentoring,
ASSOCIATE, AUTO CAD, AUTOCAD, C, c++, CAD, CAD MODELING, CFD, CNC, CNC MACHINES, COBOL, COMPUTATIONAL FLUID DYNAMICS, CUSTOMER SERVICE, CUSTOMER SERVICE REPRESENTATIVE, DATABASE, DB2, DELPHI, DIRECTX, DOS, ENGINEER, FLUID DYNAMICS, FORTR, Administration Skills
"
"Lead Software Developer, Senior Specialist","BE /  B.Tech  ( Engineering )  , MBA /  PGDM
                  	
	                  	
	                       		2009
	                    
                    	","Technical Proficiency, Planning/Organizing, Creative Proficiency,
c, c++, Linux, Elevator, Amazon Aws, c#.net, Docker
"
"Technical Lead, R & D Engineer","BE /  B.Tech  ( Engineering )  , ME /  M.Tech. /  MS  ( Engg /  Sciences ) 
                  	
	                  	
	                       		2014
	                    
                    	","Communication Proficiency, Analytical Proficiency, Training/Mentoring,
c++, c, linux, computer networking, operating system, software engineering, embedded and c, embedded and c++, embedded software, software engineer
"
"Architect, System Lead Engineer","BE /  B.Tech  ( Engineering )  , ME /  M.Tech. /  MS  ( Engg /  Sciences ) 
                  	
	                  	
	                       		2010
	                    
                    	","Technical Proficiency, Planning/Organizing, Creative Proficiency,
C, EMBEDDED SYSTEMS, ETHERNET, MICROCONTROLLERS, REALTIME, SPI, TCP / IP, embedded linux, Embedded and Firmware, I2c, Uart, Embedded C, RTOS, Eeprom, Linux Kernel Programming, Device Drivers, Firmware, Arm, Embedded and c++, Python, Linux, c++, Adc
"
"Architect, Architect",BE /  B.Tech  ( Engineering )  ,"Planning/Organizing, Communication Proficiency, Management Proficiency,
c++, C Programming, Linux, Unix, Python, Technical Manager, Technical Architect, Shell Scripting, Multithreading, Perl, Telecom, Application Software, System Software, Network Security, Vpn, Socket Programming, Ipc Mechanism, Tcp, Ip, Embedded and Firmware
"
